ID,Reason for Absence,Date,Transportation Expense,Distance to Work,Age,Daily Work Load Average,Body Mass Index,Education,Children,Pets,Absenteeism Time in Hours,Month Value
11,26,07/07/2015,289,36,33,239.554,30,0,2,1,4,07/07/2015
36,0,14/07/2015,118,13,50,239.554,31,0,1,0,0,14/07/2015
3,23,15/07/2015,179,51,38,239.554,31,0,0,0,2,15/07/2015
7,7,16/07/2015,279,5,39,239.554,24,0,2,0,4,16/07/2015
11,23,23/07/2015,289,36,33,239.554,30,0,2,1,2,23/07/2015
3,23,10/07/2015,179,51,38,239.554,31,0,0,0,2,10/07/2015
10,22,17/07/2015,361,52,28,239.554,27,0,1,4,8,17/07/2015
20,23,24/07/2015,260,50,36,239.554,23,0,4,0,4,24/07/2015
14,19,06/07/2015,155,12,34,239.554,25,0,2,0,40,06/07/2015
1,22,13/07/2015,235,11,37,239.554,29,1,1,1,8,13/07/2015
20,1,20/07/2015,260,50,36,239.554,23,0,4,0,8,20/07/2015
20,1,14/07/2015,260,50,36,239.554,23,0,4,0,8,14/07/2015
20,11,15/07/2015,260,50,36,239.554,23,0,4,0,8,15/07/2015
3,11,15/07/2015,179,51,38,239.554,31,0,0,0,1,15/07/2015
3,23,15/07/2015,179,51,38,239.554,31,0,0,0,4,15/07/2015
24,14,17/07/2015,246,25,41,239.554,23,0,0,0,8,17/07/2015
3,23,17/07/2015,179,51,38,239.554,31,0,0,0,2,17/07/2015
3,21,27/07/2015,179,51,38,239.554,31,0,0,0,8,27/07/2015
6,11,30/07/2015,189,29,33,239.554,25,0,2,2,8,30/07/2015
33,23,05/08/2015,248,25,47,205.917,32,0,2,1,2,05/08/2015
18,10,12/08/2015,330,16,28,205.917,25,1,0,0,8,12/08/2015
3,11,03/08/2015,179,51,38,205.917,31,0,0,0,1,03/08/2015
10,13,10/08/2015,361,52,28,205.917,27,0,1,4,40,10/08/2015
20,28,14/08/2015,260,50,36,205.917,23,0,4,0,4,14/08/2015
11,18,17/08/2015,289,36,33,205.917,30,0,2,1,8,17/08/2015
10,25,24/08/2015,361,52,28,205.917,27,0,1,4,7,24/08/2015
11,23,04/08/2015,289,36,33,205.917,30,0,2,1,1,04/08/2015
30,28,12/08/2015,157,27,29,205.917,22,0,0,0,4,12/08/2015
11,18,19/08/2015,289,36,33,205.917,30,0,2,1,8,19/08/2015
3,23,28/08/2015,179,51,38,205.917,31,0,0,0,2,28/08/2015
3,18,17/08/2015,179,51,38,205.917,31,0,0,0,8,17/08/2015
2,18,27/08/2015,235,29,48,205.917,33,0,1,5,8,27/08/2015
1,23,27/08/2015,235,11,37,205.917,29,1,1,1,4,27/08/2015
2,18,17/08/2015,235,29,48,205.917,33,0,1,5,8,17/08/2015
3,23,17/08/2015,179,51,38,205.917,31,0,0,0,2,17/08/2015
10,23,17/08/2015,361,52,28,205.917,27,0,1,4,1,17/08/2015
11,24,04/08/2015,289,36,33,205.917,30,0,2,1,8,04/08/2015
19,11,20/08/2015,291,50,32,205.917,23,0,0,0,4,20/08/2015
2,28,21/08/2015,235,29,48,205.917,33,0,1,5,8,21/08/2015
20,23,28/08/2015,260,50,36,205.917,23,0,4,0,4,28/08/2015
